Nro_Orden,Codigo_MP,Nro_Analisis,Cantidad_Consumida,Posicion
OF-2021-0038,MP-0049,QC-2024-03158,28.242,5
OF-2024-0039,MP-0024,QC-2024-00055,7.834,1
OF-2024-0039,MP-0071,QC-2020-00462,15.855,2
OF-2024-0039,MP-0070,QC-2023-01257,16.344,3
OF-2024-0041,MP-0016,QC-2024-02275,40.955,1
OF-2024-0041,MP-0065,QC-2022-02519,46.482,2
OF-2024-0041,MP-0072,QC-2022-02739,48.985,3
OF-2020-0042,MP-0030,QC-2024-01969,39.582,1
OF-2020-0042,MP-0044,QC-2023-03472,23.888,2
OF-2020-0042,MP-0061,QC-2023-01485,5.066,3
OF-2020-0042,MP-0042,QC-2022-01049,13.432,4
OF-2020-0042,MP-0072,QC-2021-01914,37.44,5
OF-2023-0044,MP-0019,QC-2022-02935,23.088,1
OF-2023-0044,MP-0047,QC-2024-01617,9.324,2
OF-2023-0044,MP-0066,QC-2022-01472,33.108,3
OF-2023-0044,MP-0037,QC-2022-01244,19.612,4
OF-2021-0045,MP-0004,QC-2024-01240,28.962,1
OF-2021-0045,MP-0073,QC-2021-02675,15.241,2
OF-2021-0045,MP-0042,QC-2021-02887,5.739,3
OF-2020-0046,MP-0018,QC-2021-00428,15.409,1
OF-2020-0046,MP-0078,QC-2021-00237,14.223,2
OF-2020-0046,MP-0041,QC-2024-01831,29.074,3
OF-2020-0046,MP-0075,QC-2022-00733,9.618,4
OF-2020-0046,MP-0077,QC-2020-02998,24.858,5
OF-2021-0048,MP-0032,QC-2022-00439,6.648,1
OF-2021-0048,MP-0040,QC-2023-00051,46.319,2
OF-2021-0048,MP-0044,QC-2024-02944,10.412,3
OF-2023-0049,MP-0019,QC-2023-01978,45.19,1
OF-2023-0049,MP-0047,QC-2022-00380,20.337,2
OF-2023-0049,MP-0066,QC-2024-00813,32.53,3
OF-2023-0049,MP-0037,QC-2022-00218,41.244,4
OF-2023-0050,MP-0001,QC-2021-01181,6.988,1
OF-2023-0050,MP-0053,QC-2024-01539,29.348,2
OF-2023-0050,MP-0066,QC-2023-02107,39.08,3
OF-2023-0050,MP-0055,QC-2024-00004,46.68,4
OF-2024-0051,MP-0031,QC-2024-02422,44.936,1
OF-2024-0051,MP-0049,QC-2022-00470,8.992,2
OF-2024-0051,MP-0043,QC-2021-01762,46.616,3
OF-2024-0051,MP-0064,QC-2021-01478,5.004,4
OF-2021-0052,MP-0005,QC-2024-02071,30.033,1
OF-2021-0052,MP-0052,QC-2024-01313,6.21,2
OF-2021-0052,MP-0062,QC-2024-00291,49.132,3
OF-2021-0052,MP-0044,QC-2024-00182,35.028,4
OF-2021-0052,MP-0073,QC-2020-00889,12.743,5
OF-2021-0053,MP-0030,QC-2024-00431,37.96,1
OF-2021-0053,MP-0053,QC-2022-01270,42.227,2
OF-2021-0053,MP-0045,QC-2021-01450,10.968,3
OF-2020-0054,MP-0005,QC-2024-02071,15.153,1
OF-2020-0054,MP-0052,QC-2021-00898,6.417,2
OF-2020-0054,MP-0054,QC-2020-01247,21.499,3
OF-2020-0054,MP-0068,QC-2020-01657,42.564,4
OF-2020-0054,MP-0050,QC-2023-02865,11.927,5
OF-2024-0055,MP-0018,QC-2020-01833,22.014,1
OF-2024-0055,MP-0078,QC-2023-01163,21.854,2
OF-2024-0055,MP-0041,QC-2024-02299,12.879,3
OF-2024-0055,MP-0075,QC-2020-02393,9.884,4
OF-2024-0055,MP-0077,QC-2021-00669,14.53,5
OF-2022-0056,MP-0014,QC-2020-02165,15.317,1
OF-2022-0056,MP-0057,QC-2022-03292,12.479,2
OF-2022-0056,MP-0050,QC-2021-03077,37.118,3
OF-2022-0056,MP-0078,QC-2022-03480,28.889,4
OF-2022-0056,MP-0068,QC-2024-03145,45.454,5
OF-2021-0057,MP-0032,QC-2020-00623,42.295,1
OF-2021-0057,MP-0050,QC-2021-03210,34.723,2
OF-2021-0057,MP-0062,QC-2021-00764,47.913,3
OF-2021-0057,MP-0040,QC-2024-01934,12.746,4
OF-2021-0058,MP-0005,QC-2024-01358,32.283,1
OF-2021-0058,MP-0077,QC-2024-00036,13.832,2
OF-2021-0058,MP-0040,QC-2022-01483,21.899,3
OF-2021-0058,MP-0051,QC-2022-02291,25.919,4
OF-2021-0058,MP-0041,QC-2023-00310,44.363,5
OF-2024-0059,MP-0021,QC-2021-00904,45.537,1
OF-2024-0059,MP-0051,QC-2020-00671,38.165,2
OF-2024-0059,MP-0039,QC-2020-02314,47.73,3
OF-2023-0060,MP-0021,QC-2024-02707,45.92,1
OF-2023-0060,MP-0051,QC-2022-02693,37.06,2
OF-2023-0060,MP-0039,QC-2020-00543,7.377,3
OF-2023-0061,MP-0036,QC-2023-00570,15.822,1
OF-2023-0061,MP-0053,QC-2024-00600,27.879,2
OF-2023-0061,MP-0074,QC-2021-02254,29.465,3
OF-2023-0061,MP-0064,QC-2021-00268,15.867,4
OF-2023-0061,MP-0062,QC-2021-02320,8.761,5
OF-2023-0062,MP-0022,QC-2022-01326,16.751,1
OF-2023-0062,MP-0052,QC-2021-00898,42.265,2
OF-2023-0062,MP-0049,QC-2024-00336,24.247,3
OF-2020-0063,MP-0032,QC-2024-03229,33.631,1
OF-2020-0063,MP-0040,QC-2020-02396,11.652,2
OF-2020-0063,MP-0044,QC-2023-03111,8.215,3
OF-2023-0064,MP-0014,QC-2020-00490,38.198,1
OF-2023-0064,MP-0057,QC-2021-01205,25.74,2
OF-2023-0064,MP-0052,QC-2020-01628,49.674,3
OF-2023-0064,MP-0053,QC-2024-01863,6.348,4
OF-2023-0064,MP-0062,QC-2021-03184,5.519,5
OF-2024-0065,MP-0024,QC-2024-00055,43.83,1
OF-2024-0065,MP-0049,QC-2024-03372,6.366,2
OF-2024-0065,MP-0041,QC-2022-01241,12.422,3
OF-2024-0065,MP-0039,QC-2023-02812,31.363,4
OF-2024-0065,MP-0051,QC-2022-00201,35.958,5
OF-2024-0067,MP-0005,QC-2022-03020,21.719,1
OF-2024-0067,MP-0077,QC-2023-03342,6.163,2
OF-2024-0067,MP-0040,QC-2020-00648,49.478,3
OF-2024-0067,MP-0051,QC-2022-01086,22.057,4
OF-2024-0067,MP-0041,QC-2024-00407,40.761,5
OF-2023-0068,MP-0027,QC-2024-01829,16.736,1
OF-2023-0068,MP-0040,QC-2020-00374,29.56,2
OF-2023-0068,MP-0078,QC-2022-01118,32.016,3
OF-2023-0068,MP-0043,QC-2024-03425,17.923,4
OF-2024-0069,MP-0022,QC-2024-00751,12.908,1
OF-2024-0069,MP-0052,QC-2023-01684,27.564,2
OF-2024-0069,MP-0049,QC-2024-00336,19.135,3
OF-2023-0072,MP-0015,QC-2023-00032,34.792,1
OF-2023-0072,MP-0061,QC-2022-03248,16.053,2
OF-2023-0072,MP-0054,QC-2020-01847,33.65,3
OF-2022-0073,MP-0016,QC-2022-02103,17.379,1
OF-2022-0073,MP-0066,QC-2021-00611,23.233,2
OF-2022-0073,MP-0061,QC-2024-02219,10.532,3
OF-2020-0074,MP-0005,QC-2021-02376,15.253,1
OF-2020-0074,MP-0038,QC-2022-01727,21.63,2
OF-2020-0074,MP-0074,QC-2022-00289,21.479,3
OF-2020-0074,MP-0072,QC-2020-01089,40.331,4
OF-2024-0075,MP-0034,QC-2024-02782,37.143,1
OF-2024-0075,MP-0064,QC-2024-02556,7.387,2
OF-2024-0075,MP-0050,QC-2021-01307,15.818,3
OF-2024-0075,MP-0071,QC-2021-03024,43.521,4
OF-2024-0075,MP-0049,QC-2023-02632,25.701,5
OF-2023-0077,MP-0035,QC-2021-03244,13.314,1
OF-2023-0077,MP-0069,QC-2022-00251,7.732,2
OF-2023-0077,MP-0053,QC-2024-00600,46.766,3
OF-2021-0078,MP-0024,QC-2022-00673,45.059,1
OF-2021-0078,MP-0070,QC-2022-02234,38.233,2
OF-2021-0078,MP-0065,QC-2024-01505,33.151,3
OF-2021-0078,MP-0044,QC-2020-01258,48.297,4
OF-2020-0079,MP-0021,QC-2022-02879,27.43,1
OF-2020-0079,MP-0040,QC-2023-01094,28.205,2
OF-2020-0079,MP-0074,QC-2023-01368,37.318,3
OF-2022-0081,MP-0018,QC-2020-00800,11.969,1
OF-2022-0081,MP-0078,QC-2020-00325,11.368,2
OF-2022-0081,MP-0041,QC-2022-01759,32.858,3
OF-2022-0081,MP-0075,QC-2022-01827,37.67,4
OF-2022-0081,MP-0077,QC-2022-02828,30.714,5
OF-2023-0082,MP-0034,QC-2020-01486,23.344,1
OF-2023-0082,MP-0040,QC-2021-00732,5.932,2
OF-2023-0082,MP-0069,QC-2024-01836,39.042,3
OF-2024-0084,MP-0014,QC-2020-02165,14.624,1
OF-2024-0084,MP-0057,QC-2022-01159,48.235,2
OF-2024-0084,MP-0052,QC-2020-01595,8.698,3
OF-2024-0084,MP-0053,QC-2020-00478,41.992,4
OF-2024-0084,MP-0062,QC-2022-00953,47.545,5
OF-2022-0088,MP-0036,QC-2024-03182,35.409,1
OF-2022-0088,MP-0053,QC-2024-01863,29.456,2
OF-2022-0088,MP-0074,QC-2023-00854,18.222,3
OF-2022-0088,MP-0064,QC-2022-00090,35.09,4
OF-2022-0088,MP-0062,QC-2022-01991,21.977,5
OF-2024-0089,MP-0005,QC-2021-01577,28.084,1
OF-2024-0089,MP-0038,QC-2020-02979,27.735,2
OF-2024-0089,MP-0074,QC-2022-00063,39.742,3
OF-2024-0089,MP-0072,QC-2024-00730,21.577,4
OF-2023-0090,MP-0016,QC-2022-02103,13.03,1
OF-2023-0090,MP-0065,QC-2020-01567,19.92,2
OF-2023-0090,MP-0072,QC-2022-00984,25.956,3
OF-2020-0091,MP-0005,QC-2020-03278,20.297,1
OF-2020-0091,MP-0052,QC-2023-01684,35.907,2
OF-2020-0091,MP-0062,QC-2020-00135,49.691,3
OF-2020-0091,MP-0044,QC-2023-01697,15.747,4
OF-2020-0091,MP-0073,QC-2023-01004,14.402,5
OF-2023-0094,MP-0017,QC-2023-00618,22.762,1
OF-2023-0094,MP-0037,QC-2021-01208,41.302,2
OF-2023-0094,MP-0044,QC-2022-00695,9.053,3
OF-2023-0094,MP-0071,QC-2024-03405,31.993,4
OF-2023-0094,MP-0054,QC-2022-02586,25.99,5
OF-2023-0095,MP-0021,QC-2024-03388,48.902,1
OF-2023-0095,MP-0051,QC-2021-00679,31.699,2
OF-2023-0095,MP-0039,QC-2023-02812,35.545,3
OF-2021-0096,MP-0031,QC-2021-02401,33.981,1
OF-2021-0096,MP-0049,QC-2020-01116,6.765,2
OF-2021-0096,MP-0043,QC-2020-02862,43.467,3
OF-2021-0096,MP-0064,QC-2021-00268,48.029,4
OF-2024-0098,MP-0031,QC-2024-02331,9.289,1
OF-2024-0098,MP-0049,QC-2021-02482,43.627,2
OF-2024-0098,MP-0043,QC-2024-00244,5.48,3
OF-2024-0098,MP-0064,QC-2020-00964,14.392,4
OF-2024-0099,MP-0024,QC-2021-03471,9.804,1
OF-2024-0099,MP-0049,QC-2022-02056,10.041,2
OF-2024-0099,MP-0041,QC-2021-00422,42.692,3
OF-2024-0099,MP-0039,QC-2022-02224,46.595,4
OF-2024-0099,MP-0051,QC-2021-00679,35.978,5
OF-2022-0100,MP-0004,QC-2021-03190,16.875,1
OF-2022-0100,MP-0073,QC-2022-01187,42.037,2
OF-2022-0100,MP-0042,QC-2023-02989,10.387,3
OF-2022-0101,MP-0014,QC-2021-02906,35.605,1
OF-2022-0101,MP-0057,QC-2023-01576,21.556,2
OF-2022-0101,MP-0052,QC-2021-02304,11.027,3
OF-2022-0101,MP-0053,QC-2024-00600,8.431,4
OF-2022-0101,MP-0062,QC-2022-02416,8.191,5
OF-2024-0102,MP-0021,QC-2020-03434,39.734,1
OF-2024-0102,MP-0051,QC-2021-00929,9.899,2
OF-2024-0102,MP-0039,QC-2022-01303,15.163,3
OF-2022-0103,MP-0024,QC-2021-02292,42.713,1
OF-2022-0103,MP-0070,QC-2021-02465,11.268,2
OF-2022-0103,MP-0065,QC-2020-01821,13.762,3
OF-2022-0103,MP-0044,QC-2020-00991,47.372,4
OF-2023-0104,MP-0001,QC-2023-00740,8.308,1
OF-2023-0104,MP-0053,QC-2021-02569,17.376,2
OF-2023-0104,MP-0066,QC-2024-00967,23.822,3
OF-2023-0104,MP-0055,QC-2021-00524,16.482,4
OF-2023-0105,MP-0015,QC-2024-01320,10.852,1
OF-2023-0105,MP-0061,QC-2021-02066,23.326,2
OF-2023-0105,MP-0054,QC-2020-00146,42.331,3
OF-2022-0109,MP-0015,QC-2022-00770,10.243,1
OF-2022-0109,MP-0061,QC-2020-00421,24.193,2
OF-2022-0109,MP-0054,QC-2021-00026,47.248,3
OF-2024-0111,MP-0022,QC-2022-01725,22.577,1
OF-2024-0111,MP-0052,QC-2022-00569,41.818,2
OF-2024-0111,MP-0049,QC-2020-03414,6.227,3
OF-2023-0112,MP-0014,QC-2024-00460,19.417,1
OF-2023-0112,MP-0057,QC-2021-02980,14.578,2
OF-2023-0112,MP-0050,QC-2020-01105,39.542,3
OF-2023-0112,MP-0078,QC-2024-01852,45.387,4
OF-2023-0112,MP-0068,QC-2022-02054,7.342,5
OF-2022-0114,MP-0036,QC-2021-00474,26.842,1
OF-2022-0114,MP-0053,QC-2024-02771,24.101,2
OF-2022-0114,MP-0074,QC-2024-01993,33.987,3
OF-2022-0114,MP-0064,QC-2024-00786,32.953,4
OF-2022-0114,MP-0062,QC-2023-02185,42.413,5
OF-2024-0115,MP-0012,QC-2021-00709,15.895,1
OF-2024-0115,MP-0043,QC-2024-00244,40.722,2
OF-2024-0115,MP-0077,QC-2022-02146,40.111,3
OF-2024-0115,MP-0056,QC-2020-02547,18.43,4
OF-2024-0115,MP-0069,QC-2021-02037,43.828,5
OF-2024-0116,MP-0016,QC-2022-00706,23.336,1
OF-2024-0116,MP-0065,QC-2021-01251,15.519,2
OF-2024-0116,MP-0072,QC-2022-02177,32.653,3
OF-2020-0117,MP-0021,QC-2022-03494,21.675,1
OF-2020-0117,MP-0051,QC-2024-03215,36.229,2
OF-2020-0117,MP-0039,QC-2020-02685,42.002,3
OF-2022-0118,MP-0027,QC-2020-00892,41.148,1
OF-2022-0118,MP-0040,QC-2022-01483,30.834,2
OF-2022-0118,MP-0078,QC-2021-00221,37.159,3
OF-2022-0118,MP-0043,QC-2024-03045,49.635,4
OF-2024-0119,MP-0032,QC-2024-02052,39.03,1
OF-2024-0119,MP-0050,QC-2020-02840,39.498,2
OF-2024-0119,MP-0062,QC-2021-02392,41.363,3
OF-2024-0119,MP-0040,QC-2020-03356,18.339,4
OF-2023-0120,MP-0016,QC-2023-03141,32.014,1
OF-2023-0120,MP-0065,QC-2024-02074,9.034,2
OF-2023-0120,MP-0072,QC-2023-02954,18.3,3
OF-2024-0121,MP-0029,QC-2020-02310,33.655,1
OF-2024-0121,MP-0064,QC-2022-01175,11.612,2
OF-2024-0121,MP-0048,QC-2020-03040,9.632,3
OF-2024-0122,MP-0024,QC-2022-02067,30.627,1
OF-2024-0122,MP-0049,QC-2021-01039,47.898,2
OF-2024-0122,MP-0041,QC-2021-00629,9.876,3
OF-2024-0122,MP-0039,QC-2021-01071,18.249,4
OF-2024-0122,MP-0051,QC-2023-00418,39.932,5
OF-2020-0124,MP-0016,QC-2022-02309,36.485,1
OF-2020-0124,MP-0065,QC-2024-02683,26.284,2
OF-2020-0124,MP-0072,QC-2021-02369,33.811,3
OF-2024-0125,MP-0005,QC-2024-00359,33.887,1
OF-2024-0125,MP-0052,QC-2024-01322,38.717,2
OF-2024-0125,MP-0054,QC-2020-01640,30.275,3
OF-2024-0125,MP-0068,QC-2020-01254,28.4,4
OF-2024-0125,MP-0050,QC-2024-01526,19.66,5
OF-2023-0126,MP-0034,QC-2021-03125,15.978,1
OF-2023-0126,MP-0040,QC-2020-02396,11.234,2
OF-2023-0126,MP-0069,QC-2021-02578,39.066,3
OF-2024-0127,MP-0012,QC-2021-01962,48.201,1
OF-2024-0127,MP-0043,QC-2020-00739,49.172,2
OF-2024-0127,MP-0077,QC-2020-03047,32.45,3
OF-2024-0127,MP-0056,QC-2020-02547,6.347,4
OF-2024-0127,MP-0069,QC-2023-00481,23.28,5
OF-2021-0130,MP-0034,QC-2024-02782,22.21,1
OF-2021-0130,MP-0040,QC-2024-01781,20.512,2
OF-2021-0130,MP-0069,QC-2021-02822,8.276,3
OF-2020-0131,MP-0032,QC-2024-02209,41.393,1
OF-2020-0131,MP-0040,QC-2024-00375,35.241,2
OF-2020-0131,MP-0044,QC-2023-00782,39.492,3
OF-2021-0132,MP-0022,QC-2021-01553,49.121,1
OF-2021-0132,MP-0052,QC-2023-00702,16.337,2
OF-2021-0132,MP-0049,QC-2021-01039,39.975,3
OF-2023-0133,MP-0024,QC-2022-01610,31.443,1
OF-2023-0133,MP-0070,QC-2023-01336,43.239,2
OF-2023-0133,MP-0065,QC-2020-01567,33.172,3
OF-2023-0133,MP-0044,QC-2022-00324,43.459,4
OF-2022-0134,MP-0030,QC-2022-00140,5.293,1
OF-2022-0134,MP-0053,QC-2020-02779,24.541,2
OF-2022-0134,MP-0045,QC-2022-02637,45.83,3
OF-2020-0135,MP-0034,QC-2021-00608,42.517,1
OF-2020-0135,MP-0064,QC-2023-02156,27.675,2
OF-2020-0135,MP-0050,QC-2023-00450,8.655,3
OF-2020-0135,MP-0071,QC-2024-00814,41.644,4
OF-2020-0135,MP-0049,QC-2023-01892,42.06,5
OF-2020-0136,MP-0024,QC-2020-02530,28.752,1
OF-2020-0136,MP-0049,QC-2020-02883,34.173,2
OF-2020-0136,MP-0041,QC-2023-00310,18.187,3
OF-2020-0136,MP-0039,QC-2020-02685,8.292,4
OF-2020-0136,MP-0051,QC-2022-03336,19.463,5
OF-2022-0137,MP-0005,QC-2020-02910,28.481,1
OF-2022-0137,MP-0052,QC-2020-02776,33.893,2
OF-2022-0137,MP-0054,QC-2024-00810,7.263,3
OF-2022-0137,MP-0068,QC-2022-02111,14.923,4
OF-2022-0137,MP-0050,QC-2023-01889,17.155,5
OF-2022-0138,MP-0031,QC-2024-03489,17.668,1
OF-2022-0138,MP-0049,QC-2024-00921,7.618,2
OF-2022-0138,MP-0043,QC-2024-03045,44.845,3
OF-2022-0138,MP-0064,QC-2020-02198,39.333,4
OF-2023-0139,MP-0005,QC-2021-02742,11.174,1
OF-2023-0139,MP-0038,QC-2022-00125,29.996,2
OF-2023-0139,MP-0074,QC-2021-00402,38.564,3
OF-2023-0139,MP-0072,QC-2022-02739,37.624,4
OF-2023-0141,MP-0030,QC-2022-00752,39.61,1
OF-2023-0141,MP-0053,QC-2021-01528,6.023,2
OF-2023-0141,MP-0045,QC-2020-01785,8.022,3
OF-2021-0143,MP-0005,QC-2020-00938,47.939,1
OF-2021-0143,MP-0052,QC-2020-02084,21.105,2
OF-2021-0143,MP-0054,QC-2023-00818,14.118,3
OF-2021-0143,MP-0068,QC-2024-02325,9.892,4
OF-2021-0143,MP-0050,QC-2021-03210,46.723,5
OF-2020-0144,MP-0005,QC-2023-01162,35.511,1
OF-2020-0144,MP-0052,QC-2022-00569,32.132,2
OF-2020-0144,MP-0054,QC-2023-00015,22.092,3
OF-2020-0144,MP-0068,QC-2020-01254,38.765,4
OF-2020-0144,MP-0050,QC-2022-01599,42.133,5
OF-2021-0145,MP-0034,QC-2023-02442,27.309,1
OF-2021-0145,MP-0040,QC-2020-02641,48.939,2
OF-2021-0145,MP-0069,QC-2023-01740,10.457,3
OF-2022-0146,MP-0032,QC-2022-03087,29.533,1
OF-2022-0146,MP-0040,QC-2020-01516,16.907,2
OF-2022-0146,MP-0044,QC-2023-00426,37.669,3
OF-2024-0147,MP-0030,QC-2024-01969,7.15,1
OF-2024-0147,MP-0053,QC-2023-02244,18.231,2
OF-2024-0147,MP-0045,QC-2023-00297,48.789,3
OF-2020-0149,MP-0012,QC-2024-02243,14.22,1
OF-2020-0149,MP-0043,QC-2023-01788,42.44,2
OF-2020-0149,MP-0077,QC-2024-01627,26.168,3
OF-2020-0149,MP-0056,QC-2023-01236,46.746,4
OF-2020-0149,MP-0069,QC-2021-02019,38.341,5
OF-2023-0150,MP-0031,QC-2023-00825,46.183,1
OF-2023-0150,MP-0049,QC-2024-00419,5.631,2
OF-2023-0150,MP-0043,QC-2023-01218,33.758,3
OF-2023-0150,MP-0064,QC-2021-02600,45.242,4
OF-2023-0151,MP-0032,QC-2022-00439,33.272,1
OF-2023-0151,MP-0050,QC-2023-01670,28.374,2
OF-2023-0151,MP-0062,QC-2020-01728,12.723,3
OF-2023-0151,MP-0040,QC-2020-02596,20.306,4
OF-2024-0152,MP-0031,QC-2024-03489,24.707,1
OF-2024-0152,MP-0049,QC-2020-03414,24.171,2
OF-2024-0152,MP-0043,QC-2021-01762,44.363,3
OF-2024-0152,MP-0064,QC-2022-03394,15.936,4
OF-2024-0153,MP-0021,QC-2021-01149,29.458,1
OF-2024-0153,MP-0051,QC-2022-01086,23.379,2
OF-2024-0153,MP-0039,QC-2023-01482,15.301,3
OF-2022-0155,MP-0024,QC-2021-03471,29.507,1
OF-2022-0155,MP-0049,QC-2023-02955,24.291,2
OF-2022-0155,MP-0041,QC-2021-02872,46.72,3
OF-2022-0155,MP-0039,QC-2024-00409,25.411,4
OF-2022-0155,MP-0051,QC-2024-03215,7.749,5
OF-2021-0156,MP-0031,QC-2020-03202,40.095,1
OF-2021-0156,MP-0049,QC-2022-00896,43.705,2
OF-2021-0156,MP-0043,QC-2024-00244,21.429,3
OF-2021-0156,MP-0064,QC-2022-00078,21.925,4
OF-2020-0157,MP-0014,QC-2021-00747,13.12,1
